0	352	1308.987	1052.606
1	352	1310.095	1053.915
2	352	1311.245	1055.225
3	352	1312.378	1056.412
4	352	1313.544	1057.578
5	352	1314.711	1058.744
6	352	1315.879	1059.912
7	352	1316.907	1061.161
8	352	1318.086	1062.365
9	352	1319.224	1063.577
10	352	1320.326	1064.753
11	352	1321.583	1065.932
12	352	1322.799	1067.154
13	352	1323.973	1068.420
14	352	1325.029	1069.803
15	352	1325.873	1070.910
16	352	1326.969	1072.544
17	352	1328.064	1074.177
18	352	1328.969	1075.533
19	352	1329.934	1076.843
20	352	1330.960	1078.108
21	352	1332.084	1079.307
22	352	1333.210	1080.509
23	352	1334.335	1081.710
24	352	1335.460	1082.911
25	352	1336.473	1083.992
26	352	1337.598	1085.193
27	352	1338.553	1086.263
